handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
ds-129866,PRODUCT,Certina DS 8,true,"<p>Edelstahlgehäuse und -band aus Edelstahl, Oberfläche: matt / poliert, Quarzwerk, Zifferblatt schwarz, Saphirglas, 10bar Wasserdicht, Durchmesser: 31mm, zwei Jahre GarantieReferenz: C045.010.11.051.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;damenuhren;certina,uhren,,,,Certina,370,,,,,,205.35,1,false,,,129866,C045.010.11.051.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-129866,MEDIA,,,,,,6673aa_5c9bf9de6b93414694542ffc93b47e57~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127683,PRODUCT,Certina DS 8,true,"<p>Edelstahlgehäuse und -band PVD gelb, Perlmuttzifferblatt mit Datumsanzeige, Quarzwerk, Chronometer, Saphirglas, Durchmesser: 27.5mm, 10bar Wasserdicht, zwei Jahre GarantieReferenz: C033.051.33.118.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;damenuhren;certina,uhren,,,,Certina,520,,,,,,288.6,1,false,,,127683,C033.051.33.118.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127683,MEDIA,,,,,,6673aa_0b9d5f5a4caa43b985202bd847a8602d~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127683,MEDIA,,,,,,6673aa_1c2c5d716d8f42dc951d29dca530f1c1~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127683,MEDIA,,,,,,6673aa_f57ca374086a4320a695362fbe94a3e8~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127683,MEDIA,,,,,,6673aa_56a0545108bb4e028880744694722354~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-120460,PRODUCT,Certina DS 8,true,"<p>Edelstahlgehäuse und -band, Quarzwerk, Chronometer, Saphirglas, Perlmutt Zifferblatt mit Datumsanzeige, Faltschliesse, Durchmesser: 27mm, 10bar Wasserdicht, zwei Jahre GarantieReferenz: C033.051.11.118.01Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;damenuhren;certina,uhren,,,,Certina,440,,,,,,244.2,1,false,,,120460,C033.051.11.118.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-120460,MEDIA,,,,,,6673aa_6f62d14eedb04056ad59179cc0b42d51~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127282,PRODUCT,Certina DS 2,true,"<p>Edelstahlgehäuse und -band, Stoffband mit einer Dornschliesse, schwarzes Zifferblatt mit Datumsanzeige, Saphirglas, Automatisches Uhrwerk Powermatic 80, 20bar Wasserdicht, Durchmesser: 41mm, zwei Jahre GarantieReferenz: C024.607.11.081.02Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;herrenuhren;certina,,,,,Certina,995,,,,,,554.3,1,false,,,127282,C024.607.11.081.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127282,MEDIA,,,,,,6673aa_5f106bb3a693402980ca4e15fb992349~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127282,MEDIA,,,,,,6673aa_bceb6780cc6348eb9d0d5661ec900352~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127282,MEDIA,,,,,,6673aa_db052b1207b84429976c6cf6789c5fcc~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-127282,MEDIA,,,,,,6673aa_79f55d1070ce4c1a8b1f79bb0055b7f6~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-117791,PRODUCT,Certina DS Caimano,true,"<p>Edelstahlgehäuse, schwarzes Lederband, Saphirglas, Quarzwerk Precidrive +/- 10 Sekunden Gangabweichung pro Jahr, schwarzes Zifferblatt, Datum, 10bar Wasserdicht, zwei Jahre GarantieReferenz: C035.410.16.057.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;herrenuhren;certina,,,,,Certina,295,,,,,,164.35,1,false,,,117791,C035.410.16.057.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-117791,MEDIA,,,,,,6673aa_bed38d41f59548c1a6cc2413d9b41326~mv2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ds-131831,PRODUCT,Certina DS Action,true,"<p>Gehäuse und Band aus Titan, Oberfläche: mattiert, automatisches Uhrwerk mit 80h Gangrerserve, Saphirglas, Zifferblatt blau mit Datumsanzeige, Super-Luminova, Keramik Lünette blau, verschraubte Krone, Durchmesser 40.5mm, Wassericht bis 30bar, zwei Jahre GarantieReferenz: C048.407.44.041.00Verfügbar in der Bijouterie am Bogen in Bremgarten AG</p>",uhren;herrenuhren;certina,uhren,,,,Certina,895,,,,,,496.75,1,false,,,131831,C048.407.44.041.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
